OTU,VConL1,VConL2,VConL3,VConR1,VConR2,VConR3,VConS1,VConS2,VConS3,VFAL1,VFAL2,VFAL3,VFAR1,VFAR2,VFAR3,VFAS1,VFAS2,VFAS3,VWSHML1,VWSHML2,VWSHML3,VWSHMR1,VWSHMR2,VWSHMR3,VWSHMS1,VWSHMS2,VWSHMS3
OTU1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1100,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1103,2,0,7,1,0,0,0,0,0,1,0,12,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0
OTU1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1107,0,0,0,0,0,0,0,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1108,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1116,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
OTU1118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1120,0,0,0,0,0,0,2,0,0,0,0,0,0,0,71,5,6,109,0,0,0,0,0,12,0,0,0
OTU1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1128,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1130,0,0,0,0,0,0,43,7,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1131,0,0,19,21,57,14,4,3,11,5,3,7,6,8,28,1,4,23,0,1,0,0,0,45,63,20,13
OTU1132,0,0,0,0,0,0,1,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1133,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1137,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1138,22,0,5,2,0,0,0,0,0,56,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1144,19,0,0,0,0,0,0,0,0,45,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1147,9,0,0,0,0,0,0,0,2,11,1,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1149,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0
OTU1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1151,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU1153,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
OTU1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1159,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0
OTU116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0
OTU1161,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1162,0,68,11,0,8,3,57,15,11,0,10,14,0,0,0,1,1,7,0,0,0,0,0,2,6,42,3
OTU1163,6,0,0,0,3,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1164,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,34,0,0,0,0,6,3,0,0
OTU1167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU1169,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU117,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1174,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1175,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1176,2,5,0,45,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
OTU1178,8,162,46,0,5,0,18,9,13,0,7,0,0,0,0,0,0,17,7,0,0,0,0,9,8,10,0
OTU1179,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
OTU118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1180,0,3,0,6,9,0,2,1,0,0,3,57,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
OTU1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1185,2,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1187,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1189,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1190,0,0,24,0,0,0,3,0,5,0,0,0,0,33,0,3,0,0,0,0,0,26,0,0,0,0,0
OTU1191,14,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1194,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU1198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1199,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU12,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU120,0,0,0,10,0,4,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,54,29,0,0,0
OTU1200,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
OTU1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
OTU1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1205,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU1206,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1209,2,0,0,0,0,0,0,0,2,3,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU121,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1210,80,178,9,43,10,17,61,35,83,20,10,49,5,12,34,6,32,40,68,417,37,0,23,3,9,56,14
OTU1211,47,0,34,2,23,29,1,1,10,32,3,120,0,4,0,0,2,19,0,3,2,0,15,30,0,0,10
OTU1212,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1213,0,0,0,0,1,0,4,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
OTU1214,5,0,0,18,2,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1216,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1218,44,0,0,2,0,0,0,0,0,76,1,48,4,0,0,4,0,0,17,0,0,0,0,0,0,0,9
OTU1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1220,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1225,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1227,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1228,0,0,0,5,1,0,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0
OTU1229,0,0,8,0,0,1,0,0,1,0,7,3,0,0,0,0,0,2,3,2,1,0,0,0,4,3,1
OTU1231,15,0,5,224,401,174,0,1,5,20,0,9,190,122,69,0,0,11,0,0,0,159,107,177,1,24,2
OTU1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1233,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1234,0,0,15,3,0,0,2,2,4,0,0,0,0,0,7,1,1,0,0,0,0,15,28,0,1,3,0
OTU1235,2,22,0,0,0,2,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1236,0,1,0,1,0,0,2,8,2,0,1,0,0,0,0,2,3,17,4,3,0,0,0,1,0,0,24
OTU1237,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
OTU1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0
OTU1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1250,7,0,11,0,0,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0
OTU1253,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1255,130,0,0,0,1,0,3,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1262,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1264,7,0,2,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1267,11,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
OTU127,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU1273,317,0,0,0,0,0,0,0,0,408,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1276,7,0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1279,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU128,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0
OTU1281,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1283,2,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1286,332,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1289,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1290,476,0,0,0,0,8,0,1,0,474,0,3,0,0,0,0,0,0,13,0,0,8,0,0,0,0,0
OTU1294,21,0,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1296,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1299,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU130,0,0,0,0,0,0,1,0,0,0,1,13,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0
OTU1300,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1305,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1308,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU131,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1321,10,0,0,0,0,0,1,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1325,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1326,14,0,0,0,0,1,6,1,2,18,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU133,0,0,25,0,1,5,0,0,0,0,2,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1330,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1335,10,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1340,80,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1344,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU135,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1353,8,0,0,0,0,0,0,6,0,17,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1363,18,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1366,7,0,0,8,8,0,0,0,3,3,1,14,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0
OTU1367,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1376,1,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0
OTU1378,7,0,0,0,0,0,20,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
OTU138,6,0,4,1,6,6,5,10,7,0,5,0,10,16,11,0,3,44,0,0,59,0,32,1,9,6,2
OTU1385,22,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1393,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1402,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
