OTU,FConL1,FConL2,FConL3,FFAL1,FFAL2,FFAL3,FHAL1,FHAL2,FHAL3,VConL1,VConL2,VConL3,VFAL1,VFAL2,VFAL3,VHAL1,VHAL2,VHAL3
OTU1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU116,0,4,0,0,0,0,8,2,1,0,1,0,0,0,0,0,0,0
OTU1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1162,0,0,0,37,35,166,0,3,8,0,68,11,0,10,14,0,0,0
OTU1163,10,0,0,0,25,0,0,12,10,6,0,0,12,0,1,0,0,0
OTU1164,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,34,0,0
OTU1167,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU117,30,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0
OTU1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1174,0,0,0,0,0,0,10,13,1,0,19,0,0,0,0,0,0,0
OTU1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1176,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0
OTU1178,0,0,0,22,0,136,0,0,5,8,162,46,0,7,0,7,0,0
OTU1179,0,0,0,0,55,134,33,18,8,0,0,0,0,9,0,0,0,0
OTU118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1180,0,0,0,0,0,0,0,0,0,0,3,0,0,3,57,0,0,0
OTU1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1185,0,0,0,0,0,0,0,0,1,2,0,0,5,0,3,0,0,0
OTU1187,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
OTU1189,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0
OTU119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1190,0,24,0,0,0,0,0,0,15,0,0,24,0,0,0,0,0,0
OTU1191,0,0,0,0,0,0,0,0,1,14,0,0,11,0,5,0,0,0
OTU1194,5,0,4,25,139,28,1,0,0,0,0,1,0,0,1,0,0,0
OTU1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU1198,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU12,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
OTU120,3,5,0,0,0,0,5,23,10,0,0,0,0,0,3,0,0,0
OTU1200,16,7,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0
OTU1201,0,0,0,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0
OTU1202,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
OTU1204,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
OTU1205,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU1206,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
OTU1207,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
OTU1208,2,8,0,0,0,0,11,5,21,0,0,0,0,1,0,0,0,0
OTU1209,0,0,5,0,0,0,0,0,0,2,0,0,3,1,37,0,0,0
OTU121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1210,14,27,13,75,139,69,33,13,8,80,178,9,20,10,49,68,417,37
